externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode;attributes
"154";"Fenyőfa Bt.";2650;2465;2645;;1;1;0;"RAL 8019";NP-T-9010;Width;false;2026-08-18;NP;SIN;meghajtas=motoros
"154";"Fenyőfa Bt.";2650;2465;2645;;1;1;0;"RAL 8019";NP-TF-9010;Width;false;2026-08-18;NP;SIN;meghajtas=motoros
"154";"Fenyőfa Bt.";2650;2465;2575;;1;1;0;"RAL 8019";NP-SZ-9010;Width;false;2026-08-18;NP;SIN;meghajtas=motoros
"154";"Fenyőfa Bt.";2650;2465;2363;;1;1;0;"RAL 8019";NP-SL-9010;Width;false;2026-08-18;NP;SIN;meghajtas=motoros
"154";"Fenyőfa Bt.";2650;2465;2605;;1;1;0;"RAL 8019";NP-ROLL70-5000;Width;false;2026-08-18;NP;SIN;meghajtas=motoros
"154";"Fenyőfa Bt.";2650;2465;2540;;1;1;0;"RAL 8019";NP-BAR12-4000;Width;false;2026-08-18;NP;SIN;meghajtas=motoros
"162";"Szajkó, Győr";3820;2430;3790;;1;1;0;"RAL 7037 FSTR";NP-T-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"162";"Szajkó, Győr";3820;2430;3815;;1;1;0;"RAL 7037 FSTR";NP-TF-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"162";"Szajkó, Győr";3820;2430;3697;;1;1;0;"RAL 7037 FSTR";NP-CZ-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"162";"Szajkó, Győr";3820;2430;2327;;1;1;0;"RAL 7037 FSTR";NP-CL-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"162";"Szajkó, Győr";3820;2430;2327;;1;1;0;"RAL 7037 FSTR";NP-CLB;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"162";"Szajkó, Győr";3820;2430;2327;;1;1;0;"RAL 7037 FSTR";NP-CLT-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"162";"Szajkó, Győr";3820;2430;3705;;1;1;0;"RAL 7037 FSTR";NP-ROLL78-7000;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"162";"Szajkó, Győr";3820;2430;3655;;1;1;0;"RAL 7037 FSTR";NP-BAR22-3000;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"165";"Ro-Konzol, Győr";1630;1430;1600;;1;0;1;"RAL 1015";NP-T-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"165";"Ro-Konzol, Győr";1630;1430;1625;;1;0;1;"RAL 1015";NP-TF-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"165";"Ro-Konzol, Győr";1630;1430;1507;;1;0;1;"RAL 1015";NP-CZ-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"165";"Ro-Konzol, Győr";1630;1430;1327;;1;0;1;"RAL 1015";NP-CL-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"165";"Ro-Konzol, Győr";1630;1430;1327;;1;0;1;"RAL 1015";NP-CLB;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"165";"Ro-Konzol, Győr";1630;1430;1327;;1;0;1;"RAL 1015";NP-CLT-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"165";"Ro-Konzol, Győr";1630;1430;1515;;1;0;1;"RAL 1015";NP-ROLL70-5000;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"165";"Ro-Konzol, Győr";1630;1430;1465;;1;0;1;"RAL 1015";NP-BAR22-3000;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"186";"RedőnyCentrum, Győr";3250;1550;3220;;1;0;1;"RAL 9006";NP-T-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"186";"RedőnyCentrum, Győr";3250;1550;3245;;1;0;1;"RAL 9006";NP-TF-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"186";"RedőnyCentrum, Győr";3250;1550;3127;;1;0;1;"RAL 9006";NP-CZ-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"186";"RedőnyCentrum, Győr";3250;1550;1447;;1;0;1;"RAL 9006";NP-CL-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"186";"RedőnyCentrum, Győr";3250;1550;1447;;1;0;1;"RAL 9006";NP-CLB;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"186";"RedőnyCentrum, Győr";3250;1550;1447;;1;0;1;"RAL 9006";NP-CLT-9010;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"186";"RedőnyCentrum, Győr";3250;1550;3135;;1;0;1;"RAL 9006";NP-ROLL70-5000;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"186";"RedőnyCentrum, Győr";3250;1550;3085;;1;0;1;"RAL 9006";NP-BAR22-3000;Width;false;2026-08-24;NP;CIP;meghajtas=motoros
"181";"Napex, Pécs";2495;2300;2465;;1;0;1;"RAL 8019";NP-T-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"181";"Napex, Pécs";2495;2300;2490;;1;0;1;"RAL 8019";NP-TF-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"181";"Napex, Pécs";2495;2300;2372;;1;0;1;"RAL 8019";NP-CZ-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"181";"Napex, Pécs";2495;2300;2197;;1;0;1;"RAL 8019";NP-CL-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"181";"Napex, Pécs";2495;2300;2197;;1;0;1;"RAL 8019";NP-CLB;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"181";"Napex, Pécs";2495;2300;2197;;1;0;1;"RAL 8019";NP-CLT-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"181";"Napex, Pécs";2495;2300;2380;;1;0;1;"RAL 8019";NP-ROLL70-5000;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"181";"Napex, Pécs";2495;2300;2330;;1;0;1;"RAL 8019";NP-BAR22-3000;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"182";"Napex, Pécs";2430;2300;2400;;1;0;1;"RAL 8019";NP-T-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"182";"Napex, Pécs";2430;2300;2425;;1;0;1;"RAL 8019";NP-TF-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"182";"Napex, Pécs";2430;2300;2307;;1;0;1;"RAL 8019";NP-CZ-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"182";"Napex, Pécs";2430;2300;2197;;1;0;1;"RAL 8019";NP-CL-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"182";"Napex, Pécs";2430;2300;2197;;1;0;1;"RAL 8019";NP-CLB;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"182";"Napex, Pécs";2430;2300;2197;;1;0;1;"RAL 8019";NP-CLT-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"182";"Napex, Pécs";2430;2300;2315;;1;0;1;"RAL 8019";NP-ROLL70-5000;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"182";"Napex, Pécs";2430;2300;2265;;1;0;1;"RAL 8019";NP-BAR22-3000;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
"183";"Napex, Pécs";2500;2300;2470;;1;1;0;"RAL 8019";NP-T-9010;Width;false;2026-08-28;NP;CIP;meghajtas=motoros
