externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode
"1901";"AluschattenKönig";0;0;850;;1;1;0;"RAL 7016";NP-T-7016;Width;false;2026-07-08;NP;CIP
"1902";"AluschattenKönig";0;0;3330;;1;1;0;"RAL 7016";NP-T-7016;Width;false;2026-07-08;NP;CIP
"1903";"AluschattenKönig";0;0;3510;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-07-08;NP;CIP
"1904";"AluschattenKönig";0;0;3500;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-07-08;NP;CIP
"1905";"AluschattenKönig";0;0;1125;;1;1;0;"RAL 7016";NP-T-7016;Width;false;2026-07-08;NP;CIP
"1906";"AluschattenKönig";0;0;2470;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-07-08;NP;CIP
"1901";"AluschattenKönig";0;0;875;;1;1;0;"RAL 7016";NP-TF-7016;Width;false;2026-07-08;NP;CIP
"1902";"AluschattenKönig";0;0;3355;;1;1;0;"RAL 7016";NP-TF-7016;Width;false;2026-07-08;NP;CIP
"1903";"AluschattenKönig";0;0;3535;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-07-08;NP;CIP
"1904";"AluschattenKönig";0;0;3525;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-07-08;NP;CIP
"1905";"AluschattenKönig";0;0;1150;;1;1;0;"RAL 7016";NP-TF-7016;Width;false;2026-07-08;NP;CIP
"1906";"AluschattenKönig";0;0;2495;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-07-08;NP;CIP
"1901";"AluschattenKönig";0;0;757;;1;1;0;"RAL 7016";NP-CZ-7016;Width;false;2026-07-08;NP;CIP
"1902";"AluschattenKönig";0;0;3237;;1;1;0;"RAL 7016";NP-CZ-7016;Width;false;2026-07-08;NP;CIP
"1903";"AluschattenKönig";0;0;3417;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-07-08;NP;CIP
"1904";"AluschattenKönig";0;0;3407;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-07-08;NP;CIP
"1905";"AluschattenKönig";0;0;1032;;1;1;0;"RAL 7016";NP-CZ-7016;Width;false;2026-07-08;NP;CIP
"1906";"AluschattenKönig";0;0;2377;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-07-08;NP;CIP
"1901";"AluschattenKönig";0;0;2447;;1;1;0;"RAL 7016";NP-CL-7016;Width;false;2026-07-08;NP;CIP
"1902";"AluschattenKönig";0;0;2447;;1;1;0;"RAL 7016";NP-CL-7016;Width;false;2026-07-08;NP;CIP
"1903";"AluschattenKönig";0;0;2812;;1;0;1;"RAL 7016";NP-CL-7016;Width;false;2026-07-08;NP;CIP
"1904";"AluschattenKönig";0;0;2812;;1;0;1;"RAL 7016";NP-CL-7016;Width;false;2026-07-08;NP;CIP
"1905";"AluschattenKönig";0;0;2812;;1;1;0;"RAL 7016";NP-CL-7016;Width;false;2026-07-08;NP;CIP
"1906";"AluschattenKönig";0;0;2842;;1;1;0;"RAL 7016";NP-CL-7016;Width;false;2026-07-08;NP;CIP
"1901";"AluschattenKönig";0;0;765;;1;1;0;"RAL 7016";NP-ROLL70-6000;Width;false;2026-07-08;NP;CIP
"1902";"AluschattenKönig";0;0;3245;;1;1;0;"RAL 7016";NP-ROLL70-6000;Width;false;2026-07-08;NP;CIP
"1903";"AluschattenKönig";0;0;3429;;1;0;1;"RAL 7016";NP-ROLL70-6000;Width;false;2026-07-08;NP;CIP
"1904";"AluschattenKönig";0;0;3419;;1;0;1;"RAL 7016";NP-ROLL70-6000;Width;false;2026-07-08;NP;CIP
"1905";"AluschattenKönig";0;0;1044;;1;1;0;"RAL 7016";NP-ROLL70-6000;Width;false;2026-07-08;NP;CIP
"1906";"AluschattenKönig";0;0;2389;;1;0;1;"RAL 7016";NP-ROLL70-6000;Width;false;2026-07-08;NP;CIP
"1901";"AluschattenKönig";0;0;705;;1;1;0;"RAL 7016";NP-BAR22-4000;Width;false;2026-07-08;NP;CIP
"1902";"AluschattenKönig";0;0;3185;;1;1;0;"RAL 7016";NP-BAR22-4000;Width;false;2026-07-08;NP;CIP
"1903";"AluschattenKönig";0;0;3365;;1;0;1;"RAL 7016";NP-BAR22-4000;Width;false;2026-07-08;NP;CIP
"1904";"AluschattenKönig";0;0;3355;;1;0;1;"RAL 7016";NP-BAR22-4000;Width;false;2026-07-08;NP;CIP
"1905";"AluschattenKönig";0;0;980;;1;1;0;"RAL 7016";NP-BAR22-4000;Width;false;2026-07-08;NP;CIP
"1906";"AluschattenKönig";0;0;2325;;1;0;1;"RAL 7016";NP-BAR22-4000;Width;false;2026-07-08;NP;CIP
