externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode;attributes;surface
"283";"Generálkiv., Pécs";3300;2150;3295;;1;1;0;"RAL 9006";NP-T;Width;false;2026-09-18;NP;BOW;meghajtas=kurblis;SM
"283";"Generálkiv., Pécs";3300;2150;3295;;1;1;0;"RAL 9006";NP-TF;Width;false;2026-09-18;NP;BOW;meghajtas=kurblis;SM
"283";"Generálkiv., Pécs";3300;2150;3260;;1;1;0;"RAL 9006";NP-SZ;Width;false;2026-09-18;NP;BOW;meghajtas=kurblis;SM
"283";"Generálkiv., Pécs";3300;2150;3245;;1;1;0;"RAL 9006";NP-ROLL70-5000;Width;false;2026-09-18;NP;BOW;meghajtas=kurblis;SM
"283";"Generálkiv., Pécs";3300;2150;3215;;1;1;0;"RAL 9006";NP-BAR12-4000;Width;false;2026-09-18;NP;BOW;meghajtas=kurblis;SM
"280";"Hal-Kov";980;3340;950;;1;1;0;"RAL 8002";NP-T;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"280";"Hal-Kov";980;3340;975;;1;1;0;"RAL 8002";NP-TF;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"280";"Hal-Kov";980;3340;857;;1;1;0;"RAL 8002";NP-CZ;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"280";"Hal-Kov";980;3340;3237;;1;1;0;"RAL 8002";NP-CL2+CLT2+CLB2;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"280";"Hal-Kov";980;3340;869;;1;1;0;"RAL 8002";NP-ROLL70-5000;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"280";"Hal-Kov";980;3340;805;;1;1;0;"RAL 8002";NP-BAR22-3000;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"277";"Hal-Kov";2180;2300;2150;;1;1;0;"RAL 8002";NP-T;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"277";"Hal-Kov";2180;2300;2175;;1;1;0;"RAL 8002";NP-TF;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"277";"Hal-Kov";2180;2300;2057;;1;1;0;"RAL 8002";NP-CZ;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"277";"Hal-Kov";2180;2300;2197;;1;1;0;"RAL 8002";NP-CL2+CLT2+CLB2;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"277";"Hal-Kov";2180;2300;2069;;1;1;0;"RAL 8002";NP-ROLL70-5000;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"277";"Hal-Kov";2180;2300;2005;;1;1;0;"RAL 8002";NP-BAR22-3000;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"278";"Hal-Kov";2325;2300;2295;;1;1;0;"RAL 8002";NP-T;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"278";"Hal-Kov";2325;2300;2320;;1;1;0;"RAL 8002";NP-TF;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"278";"Hal-Kov";2325;2300;2202;;1;1;0;"RAL 8002";NP-CZ;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"278";"Hal-Kov";2325;2300;2197;;1;1;0;"RAL 8002";NP-CL2+CLT2+CLB2;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"278";"Hal-Kov";2325;2300;2214;;1;1;0;"RAL 8002";NP-ROLL70-5000;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
"278";"Hal-Kov";2325;2300;2150;;1;1;0;"RAL 8002";NP-BAR22-3000;Width;false;2026-09-15;NP;CIP;meghajtas=motoros;SM
