externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode
"3";"Molnár Ferenc, Győr";0;0;2105;;1;0;1;"RAL 8003";NP-T;Width;false;2026-07-20;NP;CIP
"3";"Molnár Ferenc, Győr";0;0;2130;;1;0;1;"RAL 8003";NP-TF;Width;false;2026-07-20;NP;CIP
"3";"Molnár Ferenc, Győr";0;0;2012;;1;0;1;"RAL 8003";NP-CZ;Width;false;2026-07-20;NP;CIP
"3";"Molnár Ferenc, Győr";0;0;2097;;1;0;1;"RAL 8003";NP-CL;Width;false;2026-07-20;NP;CIP
"3";"Molnár Ferenc, Győr";0;0;2097;;1;0;1;"RAL 8003";NP-CLB;Width;false;2026-07-20;NP;CIP
"4";"Molnár Ferenc, Győr";0;0;2100;;1;0;1;"RAL 8003";NP-T;Width;false;2026-07-20;NP;CIP
"4";"Molnár Ferenc, Győr";0;0;2125;;1;0;1;"RAL 8003";NP-TF;Width;false;2026-07-20;NP;CIP
"4";"Molnár Ferenc, Győr";0;0;2007;;1;0;1;"RAL 8003";NP-CZ;Width;false;2026-07-20;NP;CIP
"4";"Molnár Ferenc, Győr";0;0;2097;;1;0;1;"RAL 8003";NP-CL;Width;false;2026-07-20;NP;CIP
"4";"Molnár Ferenc, Győr";0;0;2097;;1;0;1;"RAL 8003";NP-CLB;Width;false;2026-07-20;NP;CIP
"3";"Molnár Ferenc, Győr";0;0;2024;;1;0;1;"RAL 8003";NP-ROLL70-7000;Width;false;2026-07-20;NP;CIP
"3";"Molnár Ferenc, Győr";0;0;1960;;1;0;1;"RAL 8003";NP-BAR22-3000;Width;false;2026-07-20;NP;CIP
"4";"Molnár Ferenc, Győr";0;0;2019;;1;0;1;"RAL 8003";NP-ROLL70-7000;Width;false;2026-07-20;NP;CIP
"4";"Molnár Ferenc, Győr";0;0;1955;;1;0;1;"RAL 8003";NP-BAR22-3000;Width;false;2026-07-20;NP;CIP
