externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode
"1909";"Generálkiv., Pécs";0;0;3670;;1;0;1;"RAL 8003";NP-T;Width;false;2026-07-10;NP;CIP
"1910";"Generálkiv., Pécs";0;0;3110;;1;0;1;"RAL 8003";NP-T;Width;false;2026-07-10;NP;CIP
"1911";"Generálkiv., Pécs";0;0;3110;;1;0;1;"RAL 8003";NP-T;Width;false;2026-07-10;NP;CIP
"1912";"Generálkiv., Pécs";0;0;3680;;1;0;1;"RAL 8003";NP-T;Width;false;2026-07-10;NP;CIP
"1913";"Generálkiv., Pécs";0;0;770;;1;0;1;"RAL 8003";NP-T;Width;false;2026-07-10;NP;CIP
"1914";"Generálkiv., Pécs";0;0;2030;;1;0;1;"RAL 8003";NP-T;Width;false;2026-07-10;NP;CIP
"1915";"Generálkiv., Pécs";0;0;650;;1;0;1;"RAL 8003";NP-T;Width;false;2026-07-10;NP;CIP
"1916";"Generálkiv., Pécs";0;0;2150;;1;0;1;"RAL 8003";NP-T;Width;false;2026-07-10;NP;CIP
"1919";"Napex, Pécs";0;0;1720;;1;1;0;"RAL 7038";NP-T;Width;false;2026-07-10;NP;CIP
"1920";"Napex, Pécs";0;0;1750;;1;1;0;"RAL 7038";NP-T;Width;false;2026-07-10;NP;CIP
"1952";"Napex Pécs";0;0;1690;;1;1;0;"RAL 7038";NP-T;Width;false;2026-07-10;NP;CIP
"1909";"Generálkiv., Pécs";0;0;3695;;1;0;1;"RAL 8003";NP-TF;Width;false;2026-07-10;NP;CIP
"1910";"Generálkiv., Pécs";0;0;3135;;1;0;1;"RAL 8003";NP-TF;Width;false;2026-07-10;NP;CIP
"1911";"Generálkiv., Pécs";0;0;3135;;1;0;1;"RAL 8003";NP-TF;Width;false;2026-07-10;NP;CIP
"1912";"Generálkiv., Pécs";0;0;3705;;1;0;1;"RAL 8003";NP-TF;Width;false;2026-07-10;NP;CIP
"1913";"Generálkiv., Pécs";0;0;795;;1;0;1;"RAL 8003";NP-TF;Width;false;2026-07-10;NP;CIP
"1914";"Generálkiv., Pécs";0;0;2155;;1;0;1;"RAL 8003";NP-TF;Width;false;2026-07-10;NP;CIP
"1915";"Generálkiv., Pécs";0;0;675;;1;0;1;"RAL 8003";NP-TF;Width;false;2026-07-10;NP;CIP
"1916";"Generálkiv., Pécs";0;0;2175;;1;0;1;"RAL 8003";NP-TF;Width;false;2026-07-10;NP;CIP
"1919";"Napex, Pécs";0;0;1745;;1;1;0;"RAL 7038";NP-TF;Width;false;2026-07-10;NP;CIP
"1920";"Napex, Pécs";0;0;1775;;1;1;0;"RAL 7038";NP-TF;Width;false;2026-07-10;NP;CIP
"1952";"Napex Pécs";0;0;1715;;1;1;0;"RAL 7038";NP-TF;Width;false;2026-07-10;NP;CIP
"1909";"Generálkiv., Pécs";0;0;3577;;1;0;1;"RAL 8003";NP-CZ;Width;false;2026-07-10;NP;CIP
"1910";"Generálkiv., Pécs";0;0;3017;;1;0;1;"RAL 8003";NP-CZ;Width;false;2026-07-10;NP;CIP
"1911";"Generálkiv., Pécs";0;0;3017;;1;0;1;"RAL 8003";NP-CZ;Width;false;2026-07-10;NP;CIP
"1912";"Generálkiv., Pécs";0;0;3587;;1;0;1;"RAL 8003";NP-CZ;Width;false;2026-07-10;NP;CIP
"1913";"Generálkiv., Pécs";0;0;677;;1;0;1;"RAL 8003";NP-CZ;Width;false;2026-07-10;NP;CIP
"1914";"Generálkiv., Pécs";0;0;1937;;1;0;1;"RAL 8003";NP-CZ;Width;false;2026-07-10;NP;CIP
"1915";"Generálkiv., Pécs";0;0;557;;1;0;1;"RAL 8003";NP-CZ;Width;false;2026-07-10;NP;CIP
"1916";"Generálkiv., Pécs";0;0;2057;;1;0;1;"RAL 8003";NP-CZ;Width;false;2026-07-10;NP;CIP
"1919";"Napex, Pécs";0;0;1627;;1;1;0;"RAL 7038";NP-CZ;Width;false;2026-07-10;NP;CIP
"1920";"Napex, Pécs";0;0;1657;;1;1;0;"RAL 7038";NP-CZ;Width;false;2026-07-10;NP;CIP
"1952";"Napex Pécs";0;0;1597;;1;1;0;"RAL 7038";NP-CZ;Width;false;2026-07-10;NP;CIP
"1909";"Generálkiv., Pécs";0;0;1427;;1;0;1;"RAL 8003";NP-CL;Width;false;2026-07-10;NP;CIP
"1910";"Generálkiv., Pécs";0;0;1427;;1;0;1;"RAL 8003";NP-CL;Width;false;2026-07-10;NP;CIP
"1911";"Generálkiv., Pécs";0;0;1427;;1;0;1;"RAL 8003";NP-CL;Width;false;2026-07-10;NP;CIP
"1912";"Generálkiv., Pécs";0;0;2397;;1;0;1;"RAL 8003";NP-CL;Width;false;2026-07-10;NP;CIP
"1913";"Generálkiv., Pécs";0;0;2397;;1;0;1;"RAL 8003";NP-CL;Width;false;2026-07-10;NP;CIP
"1914";"Generálkiv., Pécs";0;0;2397;;1;0;1;"RAL 8003";NP-CL;Width;false;2026-07-10;NP;CIP
"1915";"Generálkiv., Pécs";0;0;2397;;1;0;1;"RAL 8003";NP-CL;Width;false;2026-07-10;NP;CIP
"1916";"Generálkiv., Pécs";0;0;2397;;1;0;1;"RAL 8003";NP-CL;Width;false;2026-07-10;NP;CIP
"1919";"Napex, Pécs";0;0;2217;;1;1;0;"RAL 7038";NP-CL;Width;false;2026-07-10;NP;CIP
"1920";"Napex, Pécs";0;0;2217;;1;1;0;"RAL 7038";NP-CL;Width;false;2026-07-10;NP;CIP
"1952";"Napex Pécs";0;0;2237;;1;1;0;"RAL 7038";NP-CL;Width;false;2026-07-10;NP;CIP
"1909";"Generálkiv., Pécs";0;0;1427;;1;0;1;"RAL 8003";NP-CLB;Width;false;2026-07-10;NP;CIP
"1910";"Generálkiv., Pécs";0;0;1427;;1;0;1;"RAL 8003";NP-CLB;Width;false;2026-07-10;NP;CIP
"1911";"Generálkiv., Pécs";0;0;1427;;1;0;1;"RAL 8003";NP-CLB;Width;false;2026-07-10;NP;CIP
"1912";"Generálkiv., Pécs";0;0;2397;;1;0;1;"RAL 8003";NP-CLB;Width;false;2026-07-10;NP;CIP
"1913";"Generálkiv., Pécs";0;0;2397;;1;0;1;"RAL 8003";NP-CLB;Width;false;2026-07-10;NP;CIP
"1914";"Generálkiv., Pécs";0;0;2397;;1;0;1;"RAL 8003";NP-CLB;Width;false;2026-07-10;NP;CIP
"1915";"Generálkiv., Pécs";0;0;2397;;1;0;1;"RAL 8003";NP-CLB;Width;false;2026-07-10;NP;CIP
"1916";"Generálkiv., Pécs";0;0;2397;;1;0;1;"RAL 8003";NP-CLB;Width;false;2026-07-10;NP;CIP
"1919";"Napex, Pécs";0;0;2217;;1;1;0;"RAL 7038";NP-CLB;Width;false;2026-07-10;NP;CIP
"1920";"Napex, Pécs";0;0;2217;;1;1;0;"RAL 7038";NP-CLB;Width;false;2026-07-10;NP;CIP
"1952";"Napex Pécs";0;0;2237;;1;1;0;"RAL 7038";NP-CLB;Width;false;2026-07-10;NP;CIP
"1909";"Generálkiv., Pécs";0;0;3589;;1;0;1;"RAL 8003";NP-ROLL78-7000;Width;false;2026-07-10;NP;CIP
"1910";"Generálkiv., Pécs";0;0;3029;;1;0;1;"RAL 8003";NP-ROLL70-7000;Width;false;2026-07-10;NP;CIP
"1911";"Generálkiv., Pécs";0;0;3129;;1;0;1;"RAL 8003";NP-ROLL70-7000;Width;false;2026-07-10;NP;CIP
