externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode;attributes
"25";"Árnyhouse, Pécs";1910;2940;1880;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"25";"Árnyhouse, Pécs";1910;2940;1905;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"25";"Árnyhouse, Pécs";1910;2940;1787;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"25";"Árnyhouse, Pécs";1910;2940;2837;;1;0;1;"RAL 7016";NP-CL-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"25";"Árnyhouse, Pécs";1910;2940;2837;;1;0;1;"RAL 7016";NP-CLT-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"25";"Árnyhouse, Pécs";1910;2940;2837;;1;0;1;"RAL 7016";NP-CLB;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"25";"Árnyhouse, Pécs";1910;2940;1799;;1;0;1;"RAL 7016";NP-ROLL70-7000;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"25";"Árnyhouse, Pécs";1910;2940;1735;;1;0;1;"RAL 7016";NP-BAR22-3000;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"26";"Árnyhouse, Pécs";2910;2940;2880;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"26";"Árnyhouse, Pécs";2910;2940;2905;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"26";"Árnyhouse, Pécs";2910;2940;2787;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"26";"Árnyhouse, Pécs";2910;2940;2837;;1;0;1;"RAL 7016";NP-CL-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"26";"Árnyhouse, Pécs";2910;2940;2837;;1;0;1;"RAL 7016";NP-CLT-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"26";"Árnyhouse, Pécs";2910;2940;2837;;1;0;1;"RAL 7016";NP-CLB;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"26";"Árnyhouse, Pécs";2910;2940;2799;;1;0;1;"RAL 7016";NP-ROLL70-7000;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"26";"Árnyhouse, Pécs";2910;2940;2735;;1;0;1;"RAL 7016";NP-BAR22-3000;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"27";"Árnyhouse, Pécs";1900;2940;1870;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"27";"Árnyhouse, Pécs";1900;2940;1895;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"27";"Árnyhouse, Pécs";1900;2940;1777;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"27";"Árnyhouse, Pécs";1900;2940;2837;;1;0;1;"RAL 7016";NP-CL-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"27";"Árnyhouse, Pécs";1900;2940;2837;;1;0;1;"RAL 7016";NP-CLT-7016;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"27";"Árnyhouse, Pécs";1900;2940;2837;;1;0;1;"RAL 7016";NP-CLB;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"27";"Árnyhouse, Pécs";1900;2940;1789;;1;0;1;"RAL 7016";NP-ROLL70-7000;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"27";"Árnyhouse, Pécs";1900;2940;1725;;1;0;1;"RAL 7016";NP-BAR22-3000;Width;false;2026-07-24;NP;CIP;meghajtas=motoros
"49";"Jola, Kecskemét, Pécs";700;700;670;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-07-24;NP;CIP;meghajtas=kurblis
"49";"Jola, Kecskemét, Pécs";700;700;695;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-07-24;NP;CIP;meghajtas=kurblis
"49";"Jola, Kecskemét, Pécs";700;700;577;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-07-24;NP;CIP;meghajtas=kurblis
"49";"Jola, Kecskemét, Pécs";700;700;597;;1;0;1;"RAL 7016";NP-CL-7016;Width;false;2026-07-24;NP;CIP;meghajtas=kurblis
"49";"Jola, Kecskemét, Pécs";700;700;597;;1;0;1;"RAL 7016";NP-CLT-7016;Width;false;2026-07-24;NP;CIP;meghajtas=kurblis
"49";"Jola, Kecskemét, Pécs";700;700;597;;1;0;1;"RAL 7016";NP-CLB;Width;false;2026-07-24;NP;CIP;meghajtas=kurblis
"49";"Jola, Kecskemét, Pécs";700;700;585;;1;0;1;"RAL 7016";NP-ROLL70-7000;Width;false;2026-07-24;NP;CIP;meghajtas=kurblis
"49";"Jola, Kecskemét, Pécs";700;700;525;;1;0;1;"RAL 7016";NP-BAR22-3000;Width;false;2026-07-24;NP;CIP;meghajtas=kurblis
