externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode;attributes;surface
"289";"Antal Ildike";2450;2195;2420;;1;0;1;"RAL 9010";NP-T-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;Unknown
"289";"Antal Ildike";2450;2195;2445;;1;0;1;"RAL 9010";NP-TF-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;Unknown
"289";"Antal Ildike";2450;2195;2327;;1;0;1;"RAL 9010";NP-CZ-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;Unknown
"289";"Antal Ildike";2450;2195;2092;;1;0;1;"RAL 9010";NP-CL2+CLT2+CLB2-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;Unknown
"289";"Antal Ildike";2450;2195;2339;;1;0;1;"RAL 9010";NP-ROLL70-5000;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;Unknown
"289";"Antal Ildike";2450;2195;2275;;1;0;1;"RAL 9010";NP-BAR22-3000;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;Unknown
"290";"Antal Ildike";1000;2300;995;;1;0;1;"RAL 9010";NP-TF-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;Unknown
"290";"Antal Ildike";1000;2300;970;;1;0;1;"RAL 9010";NP-T-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;SM
"290";"Antal Ildike";1000;2300;877;;1;0;1;"RAL 9010";NP-CZ-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;SM
"290";"Antal Ildike";1000;2300;2197;;1;0;1;"RAL 9010";NP-CL2+CLT2+CLB2-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;SM
"290";"Antal Ildike";1000;2300;889;;1;0;1;"RAL 9010";NP-ROLL70-5000;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;SM
"290";"Antal Ildike";1000;2300;825;;1;0;1;"RAL 9010";NP-BAR22-3000;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;SM
"291";"Antal Ildike";2435;2280;2405;;1;0;1;"RAL 9010";NP-T-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;SM
"291";"Antal Ildike";2435;2280;2430;;1;0;1;"RAL 9010";NP-TF-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;SM
"291";"Antal Ildike";2435;2280;2312;;1;0;1;"RAL 9010";NP-CZ-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;SM
"291";"Antal Ildike";2435;2280;2177;;1;0;1;"RAL 9010";NP-CL2+CLT2+CLB2-9010;Width;false;2026-09-08;NP;CIP;meghajtas=motoros;SM
