externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode;attributes
"133";"Rolló-Halas, Pécs";2520;2550;2515;;1;1;0;"RAL 7016";NP-T-7016;Width;false;2026-08-14;NP;SIN;meghajtas=kurblis
"133";"Rolló-Halas, Pécs";2520;2550;2515;;1;1;0;"RAL 7016";NP-TF-7016;Width;false;2026-08-14;NP;SIN;meghajtas=kurblis
"133";"Rolló-Halas, Pécs";2520;2550;2445;;1;1;0;"RAL 7016";NP-SZ-7016;Width;false;2026-08-14;NP;SIN;meghajtas=kurblis
"133";"Rolló-Halas, Pécs";2520;2550;2448;;1;1;0;"RAL 7016";NP-SL-7016;Width;false;2026-08-14;NP;SIN;meghajtas=kurblis
"133";"Rolló-Halas, Pécs";2520;2550;2469;;1;1;0;"RAL 7016";NP-ROLL70-6000;Width;false;2026-08-14;NP;SIN;meghajtas=kurblis
"133";"Rolló-Halas, Pécs";2520;2550;2410;;1;1;0;"RAL 7016";NP-BAR12-4000;Width;false;2026-08-14;NP;SIN;meghajtas=kurblis
"127";"Generálkiv., Pécs";3850;2600;3820;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"127";"Generálkiv., Pécs";3850;2600;3845;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"127";"Generálkiv., Pécs";3850;2600;3727;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"127";"Generálkiv., Pécs";3850;2600;2497;;1;0;1;"RAL 7016";NP-CL-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"127";"Generálkiv., Pécs";3850;2600;2497;;1;0;1;"RAL 7016";NP-CLT-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"127";"Generálkiv., Pécs";3850;2600;2497;;1;0;1;"RAL 7016";NP-CLB;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"127";"Generálkiv., Pécs";3850;2600;3735;;1;0;1;"RAL 7016";NP-ROLL70-6000;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"127";"Generálkiv., Pécs";3850;2600;3685;;1;0;1;"RAL 7016";NP-BAR22-4000;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"139";"Generálkiv., Pécs";3850;2600;3820;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"139";"Generálkiv., Pécs";3850;2600;3845;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"139";"Generálkiv., Pécs";3850;2600;3727;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"139";"Generálkiv., Pécs";3850;2600;2497;;1;0;1;"RAL 7016";NP-CL-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"139";"Generálkiv., Pécs";3850;2600;2497;;1;0;1;"RAL 7016";NP-CLT-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"139";"Generálkiv., Pécs";3850;2600;2497;;1;0;1;"RAL 7016";NP-CLB;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"139";"Generálkiv., Pécs";3850;2600;3735;;1;0;1;"RAL 7016";NP-ROLL70-6000;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"139";"Generálkiv., Pécs";3850;2600;3685;;1;0;1;"RAL 7016";NP-BAR22-4000;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"148";"Rega Rolltech";2300;2700;2270;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"148";"Rega Rolltech";2300;2700;2295;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"148";"Rega Rolltech";2300;2700;2177;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"148";"Rega Rolltech";2300;2700;2597;;1;0;1;"RAL 7016";NP-CL-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"148";"Rega Rolltech";2300;2700;2597;;1;0;1;"RAL 7016";NP-CLT-7016;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"148";"Rega Rolltech";2300;2700;2597;;1;0;1;"RAL 7016";NP-CLB;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"148";"Rega Rolltech";2300;2700;2185;;1;0;1;"RAL 7016";NP-ROLL70-6000;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"148";"Rega Rolltech";2300;2700;2135;;1;0;1;"RAL 7016";NP-BAR22-4000;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
