externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;subtype;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate
"1870";"Re-Plastic";0;0;1795;;1;1;0;none;"";NP-T-7016;Width;false;2026-06-25
"1870";"Re-Plastic";0;0;1795;;1;0;1;none;"";NP-TF-7016;Width;false;2026-06-25
"1871";"Re-Plastic";0;0;1795;;1;1;0;none;"";NP-T-7016;Width;false;2026-06-25
"1871";"Re-Plastic";0;0;1795;;1;0;1;none;"";NP-TF-7016;Width;false;2026-06-25
"1872";"Re-Plastic";0;0;1795;;1;1;0;none;"";NP-T-7016;Width;false;2026-06-25
"1872";"Re-Plastic";0;0;1795;;1;1;0;none;"";NP-TF-7016;Width;false;2026-06-25
"1873";"Re-Plastic";0;0;1795;;1;1;0;none;"";NP-T-7016;Width;false;2026-06-25
"1873";"Re-Plastic";0;0;1795;;1;1;0;none;"";NP-TF-7016;Width;false;2026-06-25
"1874";"Re-Plastic";0;0;1795;;1;1;0;none;"";NP-T-7016;Width;false;2026-06-25
"1874";"Re-Plastic";0;0;1795;;1;0;1;none;"";NP-TF-7016;Width;false;2026-06-25
"1870";"Re-Plastic";0;0;1760;;1;1;0;none;"";NP-SZ-7016;Width;false;2026-06-25
"1871";"Re-Plastic";0;0;1760;;1;0;1;none;"";NP-SZ-7016;Width;false;2026-06-25
"1872";"Re-Plastic";0;0;1760;;1;0;1;none;"";NP-SZ-7016;Width;false;2026-06-25
"1873";"Re-Plastic";0;0;1760;;1;0;1;none;"";NP-SZ-7016;Width;false;2026-06-25
"1874";"Re-Plastic";0;0;1760;;1;1;0;none;"";NP-SZ-7016;Width;false;2026-06-25
"1862";"BenczeL.";0;0;3125;;1;0;1;none;"";NP-T-7016;Width;false;2026-07-02
"1862";"BenczeL.";0;0;3125;;1;0;1;none;"";NP-TF-7016;Width;false;2026-07-02
"1862";"BenczeL.";0;0;3090;;1;0;1;none;"";NP-SZ-7016;Width;false;2026-07-02
"1865";"Vertex";0;0;3760;;1;1;0;none;"";NP-T-7016;Width;false;2026-07-06
"1866";"Vertex";0;0;3190;;1;0;1;none;"";NP-T-7016;Width;false;2026-07-06
"1867";"Vertex";0;0;3060;;1;1;0;none;"";NP-T-7016;Width;false;2026-07-06
"1865";"Vertex";0;0;3785;;1;1;0;none;"";NP-TF-7016;Width;false;2026-07-06
"1866";"Vertex";0;0;3215;;1;0;1;none;"";NP-TF-7016;Width;false;2026-07-06
"1867";"Vertex";0;0;3085;;1;1;0;none;"";NP-TF-7016;Width;false;2026-07-06
"1865";"Vertex";0;0;3667;;1;1;0;none;"";NP-CZ-7016;Width;false;2026-07-06
"1866";"Vertex";0;0;3097;;1;0;1;none;"";NP-CZ-7016;Width;false;2026-07-06
"1867";"Vertex";0;0;2967;;1;1;0;none;"";NP-CZ-7016;Width;false;2026-07-06
"1865";"Vertex";0;0;2007;;1;1;0;none;"";NP-CL-7016;Width;false;2026-07-06
"1866";"Vertex";0;0;2107;;1;0;1;none;"";NP-CL-7016;Width;false;2026-07-06
"1867";"Vertex";0;0;2437;;1;1;0;none;"";NP-CL-7016;Width;false;2026-07-06
"1865";"Vertex";0;0;2007;;1;1;0;none;"";NP-CLBR;Width;false;2026-07-06
"1866";"Vertex";0;0;2107;;1;0;1;none;"";NP-CLBR;Width;false;2026-07-06
"1867";"Vertex";0;0;2437;;1;1;0;none;"";NP-CLBR;Width;false;2026-07-06
